"day","min","mean","max"
4,11.8264879477361,11.8264879477361,11.8264879477361
7,11.9560041167306,11.9560041167306,11.9560041167306
10,13.9458079992543,15.6539331647643,17.57127471854
14,14.8943075838611,16.7204852624271,18.9761322708593
17,26.3925289376842,29.304245064909,33.4372157519553
21,21.176378055086,24.5624129128644,28.3430874614959
24,20.3717131649378,23.1199225102962,25.8093254322578
28,18.6487201679442,23.1121356269867,28.9607730620242
32,24.4166710104161,27.2569169641274,30.2571996637196
35,34.3389927955474,45.2079158552528,60.5076047331728
42,30.2368216018234,34.1275762060724,37.477960429319
