"day","min","mean","max"
4,11.6341863871932,11.6341863871932,11.6341863871932
7,12.4268603922024,14.0243247972546,16.0094566873304
10,14.1795023599183,16.0923626374294,18.0654327703241
14,25.1230817642455,28.6663554527472,32.5444997249067
17,32.7093603664799,38.1616556634418,43.7840864263661
21,33.6179212759724,37.9394820656879,42.8310021941154
24,37.3141961578885,42.3432458566937,49.1303422110057
28,41.4075746493963,47.781075663034,54.5260776844487
32,40.2794431545437,50.750817823976,64.3044327798602
35,49.3792217392235,58.5492913438968,69.0646520016758
42,37.0636473282927,44.2089431890845,52.137089926458
49,42.7589224910277,52.4012007337432,63.8798285495372
