"day","min","mean","max"
3,54.1465952471355,54.1465952471355,54.1465952471355
5,53.7169119688107,53.7169119688107,53.7169119688107
7,58.6370755371423,76.2704122225808,95.3321330946633
10,131.112442015088,178.890956909778,242.143465192346
14,305.081648890324,381.328532378654,480.443844869385
17,338.374462242187,429.735295750486,541.432544998837
21,251.984209978975,314.960828759716,400
24,480.443844869385,619.963769824905,774.906898973323
28,293.167288676785,396.8257780467,524.449768060353
32,852.650215451578,1109.05912033371,1465.74600391959
35,192.189395686778,281.718220229612,406.424819113117
42,165.19132559793,246.032785100556,372.322221567994
49,76.2704122225808,89.4454784548892,104.064014190435
