"day","min","opt","max"
0,0,0,0
1,0.00273224043715842,0.00273224043715842,0.00273224043715842
2,0.00546448087431685,0.0191256830601093,0.0300546448087432
3,0.0409836065573771,0.0628415300546448,0.0819672131147543
4,0.098360655737705,0.131147540983607,0.158469945355191
5,0.166666666666667,0.204918032786885,0.240437158469945
6,0.224043715846995,0.265027322404372,0.30327868852459
7,0.262295081967213,0.306010928961749,0.346994535519126
8,0.325136612021858,0.368852459016394,0.40983606557377
9,0.37431693989071,0.420765027322404,0.461748633879781
10,0.407103825136612,0.456284153005464,0.497267759562842
11,0.42896174863388,0.472677595628415,0.519125683060109
12,0.461748633879781,0.508196721311475,0.549180327868852
13,0.472677595628415,0.521857923497268,0.562841530054645
14,0.5,0.543715846994536,0.587431693989071
15,0.521857923497268,0.565573770491803,0.60655737704918
16,0.53551912568306,0.584699453551913,0.62568306010929
17,0.554644808743169,0.598360655737705,0.636612021857923
18,0.565573770491803,0.612021857923497,0.655737704918033
19,0.576502732240437,0.622950819672131,0.663934426229508
20,0.598360655737705,0.64207650273224,0.685792349726776
21,0.614754098360656,0.66120218579235,0.699453551912568
22,0.633879781420765,0.680327868852459,0.718579234972678
23,0.639344262295082,0.685792349726776,0.721311475409836
24,0.647540983606557,0.693989071038251,0.729508196721312
25,0.655737704918033,0.702185792349727,0.740437158469945
26,0.666666666666667,0.715846994535519,0.751366120218579
27,0.680327868852459,0.724043715846994,0.759562841530055
28,0.685792349726776,0.729508196721312,0.765027322404372
