"day","min","opt","max"
1,0.00129533678756481,0.0297927461139896,0.0738341968911917
2,0.0492227979274612,0.132124352331606,0.211139896373057
3,0.123056994818653,0.25259067357513,0.365284974093264
4,0.199481865284974,0.345854922279793,0.465025906735751
5,0.309585492227979,0.47020725388601,0.590673575129534
6,0.38860103626943,0.551813471502591,0.669689119170985
7,0.439119170984456,0.602331606217617,0.716321243523316
8,0.468911917098446,0.633419689119171,0.744818652849741
9,0.523316062176166,0.683937823834197,0.788860103626943
10,0.601036269430052,0.755181347150259,0.848445595854922
11,0.636010362694301,0.787564766839378,0.874352331606218
12,0.670984455958549,0.817357512953368,0.898963730569948
13,0.707253886010363,0.847150259067358,0.920984455958549
14,0.730569948186529,0.869170984455959,0.937823834196891
15,0.742227979274611,0.880829015544041,0.94559585492228
16,0.755181347150259,0.889896373056995,0.950777202072539
17,0.768134715025907,0.898963730569948,0.957253886010363
18,0.77979274611399,0.908031088082902,0.962435233160622
25,0.80440414507772,0.928756476683938,0.976683937823834
28,0.818652849740933,0.940414507772021,0.984455958549223
