"day","min","opt","max"
1,0.00647668393782382,0.0453367875647668,0.0816062176165804
2,0.0362694300518135,0.126943005181347,0.207253886010363
3,0.110103626943005,0.226683937823834,0.325129533678757
4,0.207253886010363,0.344559585492228,0.455958549222798
5,0.341968911917098,0.489637305699482,0.603626943005181
6,0.467616580310881,0.617875647668394,0.72538860103627
7,0.523316062176166,0.674870466321243,0.774611398963731
8,0.560880829015544,0.711139896373057,0.80699481865285
9,0.621761658031088,0.765544041450777,0.851036269430052
10,0.673575129533679,0.809585492227979,0.88860103626943
11,0.716321243523316,0.844559585492228,0.917098445595855
12,0.759067357512953,0.882124352331606,0.94300518134715
13,0.791450777202073,0.910621761658031,0.959844559585492
14,0.825129533678757,0.937823834196891,0.977979274611399
15,0.848445595854922,0.954663212435233,0.987046632124352
16,0.860103626943005,0.962435233160622,0.989637305699482
18,0.86139896373057,0.963730569948187,0.989637305699482
21,0.869170984455959,0.974093264248705,0.993523316062176
28,0.875647668393782,0.981865284974093,0.997409326424871
