"day","min","opt","max"
1,0.00136612021857921,0.00136612021857921,0.00136612021857921
2,0.00956284153005463,0.0150273224043716,0.0218579234972677
3,0.0341530054644809,0.0505464480874318,0.0683060109289617
4,0.0696721311475411,0.0956284153005465,0.118852459016393
5,0.109289617486339,0.14207650273224,0.170765027322404
6,0.154371584699454,0.191256830601093,0.224043715846994
7,0.199453551912568,0.237704918032787,0.273224043715847
8,0.23224043715847,0.273224043715847,0.311475409836066
9,0.262295081967213,0.30327868852459,0.344262295081967
10,0.296448087431694,0.33879781420765,0.379781420765027
11,0.318306010928962,0.363387978142077,0.404371584699454
12,0.342896174863388,0.386612021857923,0.431693989071038
13,0.370218579234973,0.413934426229508,0.459016393442623
14,0.389344262295082,0.435792349726776,0.478142076502732
15,0.409836065573771,0.457650273224044,0.5
16,0.430327868852459,0.478142076502732,0.520491803278688
17,0.445355191256831,0.493169398907104,0.53551912568306
18,0.457650273224044,0.504098360655738,0.546448087431694
19,0.472677595628415,0.519125683060109,0.561475409836065
20,0.491803278688525,0.538251366120219,0.581967213114754
21,0.513661202185792,0.560109289617486,0.602459016393443
22,0.53551912568306,0.584699453551913,0.62568306010929
23,0.550546448087432,0.598360655737705,0.64207650273224
24,0.565573770491803,0.610655737704918,0.653005464480874
25,0.577868852459016,0.62431693989071,0.662568306010929
26,0.587431693989071,0.633879781420765,0.670765027322404
27,0.599726775956284,0.646174863387978,0.684426229508197
28,0.603825136612022,0.650273224043716,0.691256830601093
