"day","min","opt","max"
0,0,0,0
1,0.0018055648006392,0.0653414764028493,0.123344205551488
2,0.0959861545630036,0.199560673633762,0.29210211009785
3,0.179158623444053,0.300705584770019,0.402898888371164
4,0.269220528522932,0.401800572455568,0.508137522465553
5,0.346859814950409,0.483591825867004,0.598199427544432
6,0.424457498502297,0.569485122811689,0.673084603607801
7,0.477193303601145,0.619458496971311,0.727201624176263
8,0.494067429940757,0.639086733675032,0.74266125274579
9,0.5357535112827,0.678018704652866,0.784388936963323
10,0.555365106836185,0.700392731145577,0.79570491912401
11,0.576349597284164,0.721377221593557,0.816739333022699
12,0.600104839246489,0.747894894495107,0.841834187579045
13,0.623868401783931,0.7730563136524,0.860081208813153
15,0.649246155894295,0.801179857551754,0.88823803501298
20,0.653506290354789,0.801238101577581,0.892414963722292
21,0.678542900885309,0.847117752779072,0.9258803168475
24,0.683601810557146,0.845187379351661,0.926670771483725
25,0.707273846768289,0.885542168674699,0.956009119350329
27,0.71204153631099,0.886091326632497,0.953787525793783
