"day","min","opt","max"
0,0.000133129201890458,0.00289556014111714,0.0125723890035281
1,0.0418358516940691,0.120556812886907,0.195150768821141
2,0.119475138121547,0.227201624176263,0.31835352459562
3,0.181921054383279,0.303443053983891,0.402907208946282
4,0.306480063902017,0.43218731278706,0.542667909205884
5,0.469779671170871,0.600961858483658,0.69488451041736
6,0.543242028889037,0.67444085735206,0.76422818345204
7,0.608442055514877,0.735488916993943,0.816963988550889
8,0.623893363509286,0.748169473474007,0.83244857884577
9,0.657292152033549,0.78160986487386,0.857576715702589
10,0.696249084736737,0.819168940957199,0.889594288757239
11,0.721402183318911,0.84154296744991,0.906460094521733
12,0.741022099447514,0.8597816681089,0.924698795180723
13,0.773081275377754,0.900094854556347,0.955343473340877
14,0.784380616388205,0.901758969579977,0.955618052319776
15,0.804017173667044,0.925497570392065,0.972458896358916
18,0.802061838514278,0.926362910204353,0.984340677627638
19,0.832689875524196,0.957024229514744,0.994292085468948
20,0.844080742860946,0.982160686946682,1.0015143446715
24,0.845037608999534,0.983259002862278,1.00121480396725
27,0.84329860879984,0.981411835186048,1.00351128269986
