"day","min","opt","max"
0,0,0,0
1,0.003829129,0.013439114,0.027175529
2,0.04073026,0.086065935,0.117654184
3,0.101005318,0.150450907,0.195781076
4,0.168126562,0.224440358,0.272517811
5,0.243500666,0.306688175,0.36848002
6,0.314720812,0.382040257,0.445216755
7,0.355748373,0.429936025,0.494497176
8,0.416012421,0.490189062,0.552019446
9,0.448803638,0.521612143,0.587546935
10,0.47746292,0.555777002,0.621689772
11,0.492385787,0.569337239,0.636640166
12,0.547155268,0.622716562,0.69138212
13,0.557957211,0.629392074,0.696700508
14,0.571517447,0.647084246,0.711639891
15,0.593308522,0.671628109,0.736172743
16,0.632962441,0.711543544,0.771972758
22,0.631861326,0.711543544,0.771972758
24,0.639827896,0.723586994,0.78538985
30,0.638633185,0.721035159,0.784233679
