"day","min","opt","max"
0,0,0,0
1,0.00189393939393945,0.0246212121212122,0.0596590909090908
2,0.0445075757575758,0.111742424242424,0.178030303030303
3,0.132575757575758,0.246212121212121,0.34280303030303
4,0.220643939393939,0.350378787878788,0.453598484848485
5,0.301136363636364,0.4375,0.543560606060606
6,0.377840909090909,0.515151515151515,0.62594696969697
7,0.447916666666667,0.586174242424242,0.695075757575757
8,0.487689393939394,0.626893939393939,0.728219696969697
9,0.529356060606061,0.666666666666667,0.762310606060606
10,0.588068181818182,0.723484848484848,0.810606060606061
11,0.622159090909091,0.755681818181818,0.84280303030303
12,0.648674242424242,0.778409090909091,0.861742424242424
13,0.684659090909091,0.810606060606061,0.883522727272727
14,0.711174242424242,0.826704545454545,0.903409090909091
15,0.729166666666667,0.841856060606061,0.915719696969697
18,0.748106060606061,0.864583333333333,0.927083333333333
21,0.767045454545454,0.882575757575757,0.9375
23,0.787878787878788,0.898674242424242,0.948863636363636
25,0.807765151515151,0.912878787878788,0.964015151515151
28,0.816287878787879,0.920454545454545,0.973484848484848
