x,y,Rx,RxI,yP
-0.180025718,31.19098647,0,7,915098.1715
1.933133305,24.20427408,2,9,24072195.7
3.854019962,25.10623967,4,11,15783065.7
5.886351111,28.82432184,6,13,2770076.997
7.920519258,32.75365869,8,15,440407.64
9.952850407,36.47174086,10,17,77295.69752
11.95885126,37.16183945,12,19,55961.95901
13.97220011,38.69695671,14,21,27282.27648
15.96656665,38.04910906,16,23,36944.9874
17.96399486,37.75335252,18,25,42429.50693
19.97366971,38.86596044,20,27,25207.54943
21.96130059,37.44351234,22,29,49050.44425
23.94893148,36.02106423,24,31,95445.45726
25.95921866,37.20409038,26,33,54866.26724
27.94562489,35.64080583,28,35,114036.194
31.95150328,36.31682077,32,39,83107.9942
35.87349213,37.34553916,36,43,51351.83605
39.9810177,39.71097912,40,47,16973.86468
