Compound,Channel,Experiment,Dose,Response
astemizole,hERG,1,3.00E-04,22.99368801
astemizole,hERG,1,3.00E-04,32.76304534
astemizole,hERG,1,3.00E-04,11.44781145
astemizole,hERG,1,0.003,46.43823264
astemizole,hERG,1,0.003,50.72711719
astemizole,hERG,1,0.003,27.77777778
astemizole,hERG,1,0.3,97.83588819
astemizole,hERG,1,0.3,95.29512404
astemizole,hERG,1,0.3,95.05050505
astemizole,hERG,1,3,99.2786294
astemizole,hERG,1,3,96.40718563
astemizole,hERG,1,3,100
astemizole,hERG,2,3.00E-04,9.661017
astemizole,hERG,2,0.003,0.277008
astemizole,hERG,2,0.3,90.327381
astemizole,hERG,2,3,88.356164
astemizole,hERG,2,3.00E-04,8.14978
astemizole,hERG,2,0.003,2.739726
astemizole,hERG,2,0.3,89.60499
astemizole,hERG,2,3,86.065574
astemizole,hERG,2,3.00E-04,2.923977
astemizole,hERG,2,0.003,22.001982
astemizole,hERG,2,0.3,92.3690205
astemizole,hERG,2,3,75.789474
astemizole,hERG,3,3.00E-04,-6.343
astemizole,hERG,3,3,102.313
astemizole,hERG,3,3.00E-04,0.945
astemizole,hERG,3,3.00E-04,-4.724
astemizole,hERG,3,3,103.08
astemizole,hERG,3,3.00E-04,-9.33
astemizole,hERG,3,0.3,99.894
astemizole,hERG,3,0.3,96.456
astemizole,hERG,3,0.003,10.206
astemizole,hERG,3,0.003,-1.155
astemizole,hERG,3,0.003,5.836
astemizole,hERG,3,0.003,0.452
astemizole,hERG,3,0.3,98.068
astemizole,hERG,3,0.3,94.028
astemizole,hERG,3,3,103.213
astemizole,hERG,3,3,104.594
astemizole,hERG,4,3.00E-04,8.01636
astemizole,hERG,4,0.03,8.01636
astemizole,hERG,4,0.3,91.32924
astemizole,hERG,4,3,100.6135
astemizole,hERG,4,3.00E-04,4.315961
astemizole,hERG,4,0.03,8.306189
astemizole,hERG,4,0.3,89.57655
astemizole,hERG,4,3,99.42997
astemizole,hERG,4,3.00E-04,8.376422
astemizole,hERG,4,0.03,29.05895
astemizole,hERG,4,0.3,66.08066
astemizole,hERG,4,3,74.35367
astemizole,hERG,4,3.00E-04,24.36116
astemizole,hERG,4,0.03,40.7155
astemizole,hERG,4,0.3,81.77172
astemizole,hERG,4,3,91.65247
astemizole,hERG,5,3.00E-04,-2.81938326
astemizole,hERG,5,3.00E-04,3.422982885
astemizole,hERG,5,3.00E-04,0.164473684
astemizole,hERG,5,3.00E-04,3.499627699
astemizole,hERG,5,0.003,-0.440528634
astemizole,hERG,5,0.003,3.545232274
astemizole,hERG,5,0.003,-1.315789474
astemizole,hERG,5,0.003,5.807892777
astemizole,hERG,5,0.3,92.24669604
astemizole,hERG,5,0.3,94.25427873
astemizole,hERG,5,0.3,93.83223684
astemizole,hERG,5,0.3,92.1816828
astemizole,hERG,5,3,98.76651982
astemizole,hERG,5,3,100
astemizole,hERG,5,3,99.58881579
astemizole,hERG,5,3,98.43633656
astemizole,hERG,6,3,99.66
astemizole,hERG,6,3.00E-04,-4.12
astemizole,hERG,6,3.00E-04,-6.12
astemizole,hERG,6,0.003,-17.67
astemizole,hERG,6,0.003,-4.83
astemizole,hERG,6,0.003,-5.59
astemizole,hERG,6,0.3,74.89
astemizole,hERG,6,0.3,52.61
astemizole,hERG,6,0.3,78.14
astemizole,hERG,6,3,99.4
astemizole,hERG,6,3,99.62
astemizole,hERG,6,3.00E-04,-2.39
astemizole,hERG,7,3.00E-04,9.0368
astemizole,hERG,7,3.00E-04,5.1894
astemizole,hERG,7,3.00E-04,-2.7827
