x,y,Rx,RxI,yP
2.951153324,1.623379965,1.5,8.5,81.16899827
2.971085014,1.168273055,1.5,8.5,58.41365274
2.991016703,0.713166144,1.5,8.5,35.65830721
5.914518318,1.459879287,4.5,11.5,72.99396435
5.951293688,1.120174987,4.5,11.5,56.00874936
5.965330089,0.799677163,4.5,11.5,39.98385814
8.937678379,1.931057877,7.5,14.5,96.55289384
8.938520563,1.411828007,7.5,14.5,70.59140036
8.961540261,0.886211575,7.5,14.5,44.31057877
11.91648341,1.915009592,10.5,17.5,95.75047958
11.94455622,1.274013943,10.5,17.5,63.70069714
11.99480653,0.626631732,10.5,17.5,31.33158658
14.94132784,1.347728442,13.5,20.5,67.38642212
14.92869508,1.136176484,13.5,20.5,56.80882422
14.96041735,0.911851401,13.5,20.5,45.59257007
17.94624058,1.235554204,16.5,23.5,61.7777102
17.96111917,0.89582651,16.5,23.5,44.7913255
17.97627848,0.54968886,16.5,23.5,27.48444299
