x,y,Rx,RxI,yP
2.97305011,1.123403359,1.5,7,56.17016795
3.012352033,0.726009451,1.5,7,36.30047255
3.028634258,0.354231975,1.5,7,17.71159875
6.013615309,0.197164647,4.5,10,9.85823235
6.013615309,0.197164647,4.5,10,9.85823235
6.013615309,0.197164647,4.5,10,9.85823235
9.010948393,0.758059234,7.5,13,37.9029617
8.982033407,0.918284752,7.5,13,45.9142376
8.99578908,0.604196884,7.5,13,30.2098442
11.97459411,0.588148599,10.5,16,29.40742995
11.98863052,0.767650774,10.5,16,38.3825387
11.9824545,0.408669817,10.5,16,20.43349085
14.97080429,0.674683011,13.5,19,33.73415055
14.96378609,0.834931923,13.5,19,41.74659615
14.97754176,0.520844056,13.5,19,26.0422028
17.94708277,0.716324334,16.5,22,35.8162167
17.97206756,1.145838207,16.5,22,57.29191035
17.98638469,0.318930426,16.5,22,15.9465213
