"","x"
"K14",0.9927
"K16",1.127
"K13",0.005398
"K11",6.966e-10
"K18",2.366e-05
"K48",9.006e-09
"K29",0.003268
"K15",0.001159
"K42",0.003583
"K34",4.717e-05
"K40",0.15
"K31",0.5
"K27",1.145e-05
"K24",1.127e-06
"K47",8.246e-09
"K26",1.38e-08
"K25",0.02203
"K28",0.001526
"K288",5.579e-08
"K45",0.1901
"K37",4.72e-06
"K32",0.0008432
"K322",0.001013
"K3222",6.62e-10
"unnamed",1
"K49",9.846e-14
"K53",0.9156
"K57",0.0001574
"K59",8.787
"K245",3.764e-07
"K400",0.0001076
"K401",0.003563
"K500",8.402e-06
"K501",0.001946
"K555",0.0006772
"K556",6.833e-07
"KpC",7.2
"Kp14",0.9792
"Kp41",0.504
"K1314",1.09661147055598e-08
"Km",0.91476
"F_intracellular",1
"Kc",0.088056
"Kcell",0
"Knew",23.7672
"CL_percell",2.417e-06
"F_extracellular",0.12
"V_percell",2.925e-12
"V1",6697
"Kn1",0.64
"Krenew",0.01192
"timeout",30
"starttime",1650562964
