"","ipr","ip","Recoveredt","minevent","damageD0","damageD1","damageD10","damageD11","damageD12","damageD15","damageD28","K14","K16","K13","K11","K18","K48","K29","K15","K42","K34","K40","K31","K27","K24","K47","K26","K25","K28","K288","K45","K37","K32","K322","K3222","unnamed","K49","K53","K57","K59","K245","K400","K401","K500","K501","K555","K556","KpC","Kp14","Kp41","K1314","Km","F_intracellular","Kc","Kcell","Knew","CL_percell","F_extracellular","V_percell","V1","Kn1","Krenew","timeout","starttime","Epitheliumwithreplicatedinfluenza","FreeInfluenza","Epitheliumwithinfluenzaparticle","EpitheliumLung","InfectedAPC","IL6","ResistantEpithelium","IFNA1","TcLymphnode","ActivatedAPCLymphnode","A","EpiKilledbyIFN","EpiKilledbyIL6","EpiKilledbyTc","EpiKilledbyVirus","Tnaive","IgG","IgM","CR","CRP","KCon","C_intracellularRDV_total","C_extracellularRDV_total","cell_number","TP","incDay","Day_After_syp"
"1",27,1,22,408,6.37331004678495,4.86444461014682,0.55354053589876,0.462150109146163,0.392049013471216,0.262611546608478,0.144436923349887,1.05401642412007,1.06484217176947,0.00461956429426662,5.24404281337746e-10,2.75513229335522e-05,7.15870667131725e-09,0.00257202273969825,0.000930362462544362,0.00320497122332527,5.41853066124329e-05,0.149183790325653,0.49699980692938,1.22747498059796e-05,1.02550792020709e-06,6.07949894551754e-09,1.58648805873597e-08,0.0173780000683653,0.00163936313601157,6.2529595304819e-08,0.155294460844654,5.29314542696115e-06,0.000808314862960849,0.000819526072762143,6.5840511944142e-10,1,9.02438867031823e-14,0.656258977828276,0.00017738642866745,7.74017099730778,3.20936177040052e-07,0.000117340479796195,0.00281309415776346,8.13187263468479e-06,0.00173276963585689,0.000585154237940372,6.55672222784248e-07,6.93022947262877,0.883406601362901,0.490694218591056,1.08910077136598e-08,0.936181479667456,1.00798138052225,0.0719402870679326,0,21.9775023158066,2.10330631585746e-06,0.118263461791724,2.86808547002845e-12,6229.94767633695,0.637128954935074,0.0129746072755336,30,1650602735,0,13616.5153635734,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,5.70079527584965,11.2981305119769
"2",28,2,36,480,6.84522478456393,5.481307487249,1.2026779648166,1.08940926091757,1.00167602485907,0.847584489747554,1.3681014927022,0.709360509021654,1.18770392281361,0.00415071817008783,7.65119192122524e-10,2.28244092561667e-05,8.93866868447984e-09,0.002384682192181,0.000959937971579043,0.00282055728702827,3.62682537181047e-05,0.148272270713467,0.494309606659226,1.16791074142883e-05,1.22906591041706e-06,6.12249354155871e-09,1.45368794059854e-08,0.0214445966678353,0.00140699843106796,5.19264319299605e-08,0.135810442783517,3.4803434545658e-06,0.000752914021303711,0.000971878336901836,5.95056904176823e-10,1,8.08842496891187e-14,0.918553176737753,0.000139414785466261,9.41477092491388,3.05846505676484e-07,0.000110093879645564,0.00253618685990434,9.34269961642912e-06,0.00176337557305287,0.000650750707738074,4.94500170748816e-07,7.34151698530695,0.881622182936618,0.488870602123478,1.09664946106154e-08,0.996473774549137,0.984973284592852,0.0900526177962886,0,28.1497181562142,2.8315425720985e-06,0.120755186596513,2.93764406222035e-12,7468.24916772782,0.629863559997082,0.0108552262571239,30,1650602735,0,13757.9677434376,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,11.3548809207925,8.58945285333609
"3",99,3,28,376,6.93578768857141,5.19493608702707,0.520073483984664,0.429133752550647,0.360070268839419,0.234491444935158,0.11917218518959,0.844248262806226,0.953257109774902,0.00436835317901499,6.34864168349922e-10,1.72736785945916e-05,9.36709895285743e-09,0.00262750282206082,0.0010615286702938,0.00366603790628176,4.72178300542984e-05,0.14700846946612,0.501879496094771,9.29848591112791e-06,8.88076588749029e-07,6.05433869510235e-09,1.3937476432431e-08,0.0175309609901483,0.00121884180326777,5.55417697980925e-08,0.135899462183999,4.98509412909755e-06,0.000869760004104762,0.00075447850254887,6.18399270707625e-10,1,1.02666005455147e-13,0.687445855430616,0.000178957097231049,7.67960230448064,2.97881749400383e-07,0.000112173141490199,0.00315331846902729,5.92875290141833e-06,0.00175811088030117,0.000715498161774652,7.91664603793428e-07,6.54463342738389,0.889901923194568,0.437474860740077,1.11647915579799e-08,1.07847162255456,0.98407751579769,0.0938760244584815,0,25.8754613097008,2.75904769258187e-06,0.119148169691116,2.92751002771268e-12,7853.85975418633,0.641463837754726,0.0133518294216859,30,1650602735,0,12762.0635141985,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,7.05611384690752,8.57921031587354
"4",275,4,28,576,6.02132695339298,5.12469708213492,2.26693204785095,2.21440116950071,2.18749630128074,2.2404254154373,5.1321269386151,1.00679752079111,0.816197082608953,0.00438683686195352,7.52929545865809e-10,2.06250632510421e-05,9.82419819688495e-09,0.00320901788220079,0.00115797472417456,0.00334960891560086,4.06201554075783e-05,0.151058282983024,0.497103723729961,8.55503130034747e-06,1.21098796259405e-06,8.24524428691694e-09,1.55328688211117e-08,0.0246507401445251,0.0013681415992117,5.41877986859827e-08,0.166235854095115,3.71654642525871e-06,0.000872562171033448,0.000923954821595228,7.41032655388927e-10,1,9.15000898842226e-14,0.9515456963959,0.000129157702668913,8.94004716702879,2.83320349222319e-07,9.46549602545201e-05,0.00285734324205655,6.6077645775074e-06,0.00157815104329969,0.000591314510590816,7.72455537433183e-07,7.54115693148935,1.07593180527535,0.591915425144436,1.11292260198027e-08,0.976973565590001,1.0140609525051,0.0901956292086395,0,22.7799884974298,2.16447410379669e-06,0.120717685747147,2.91948384921974e-12,5632.84418232989,0.644812314832211,0.0109627275236199,30,1650602735,0,12440.6706785615,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,12.1454157161314,11.8039041102632
"5",330,5,36,448,7.20652458520663,5.61935969093607,0.850339497677818,0.745217660471275,0.671577922247708,0.604554299084023,7.22015362878917,0.896876513526637,1.22194575894544,0.00551254059028805,7.12308371092836e-10,2.30437876196516e-05,1.03278897533946e-08,0.0033050638339306,0.00102025936795036,0.00376726872199432,4.75006659294273e-05,0.149813908349723,0.493690844229422,9.32342928189418e-06,1.24351841553348e-06,6.67433266816526e-09,1.282840904696e-08,0.0184791351398732,0.00156590520264546,4.84934201450706e-08,0.193374130650578,5.37601949663916e-06,0.000651572708417831,0.00113348234405305,5.41380064296708e-10,1,7.4072734447275e-14,0.983905149773947,0.000170041551134191,8.92542728081069,2.65027412748486e-07,0.000111645467208527,0.00371751216420304,7.83891339197842e-06,0.00157942159486509,0.000598282958207897,7.4336490259014e-07,7.62378922450945,0.876444204546991,0.463252723333792,1.10407911012488e-08,0.772751122565642,1.00669866402633,0.0937425567752317,0,20.6704122991713,2.13128784100302e-06,0.118842372249439,2.97213331861049e-12,7343.95252829052,0.631094898635149,0.0112284876975359,30,1650602735,0,10822.3162651799,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,10.1439091845271,8.53492305567668
"6",345,6,30,502,6.28868876562519,5.16303385013527,3.14528351034452,3.39181100892308,3.6978990558304,4.91443309226945,9.25628513078506,0.915317158214959,1.23110923515643,0.0044768823390217,6.78097323130131e-10,2.34255491646916e-05,8.36280839820225e-09,0.00303107330150146,0.000914646807996467,0.00303053689912663,3.94673144438055e-05,0.148693563398905,0.504458265118301,9.59320172055417e-06,9.03179700980447e-07,8.71032671531756e-09,1.24885771930654e-08,0.0205632997527394,0.00171132697532507,6.1122381972081e-08,0.207214800249842,4.95635215785942e-06,0.000708240980912836,0.000874340307329356,7.5778618202226e-10,1,9.62606241076217e-14,0.898758589185831,0.000169071524981085,9.21879807279458,2.73294696514331e-07,9.52523759573993e-05,0.00400541389497394,9.19613933439105e-06,0.00194903364974689,0.000634729382970388,5.38582226145071e-07,7.05310992935867,0.858613232141093,0.457640056238247,1.11057204852594e-08,0.805539550574053,1.01943669178523,0.0750973864252265,0,26.9109995357833,1.9574510199606e-06,0.120088642945513,2.91558727533091e-12,6071.49326837264,0.629923336583376,0.011507276831891,30,1650602735,0,15029.5946424115,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,10.7699735823524,10.1166364011214
"7",394,7,40,568,6.24244973411438,5.42026092441939,3.23414772749007,3.270344551865,3.33778296804792,3.71391357077838,8.16599871383174,0.913117755496178,1.17301279434357,0.00411236765163507,6.49935405431275e-10,2.07400978893009e-05,8.70801446799585e-09,0.00337234866250036,0.000898262793805246,0.00348344559537646,4.17951226498503e-05,0.148209538975731,0.495691240164451,9.75032334072233e-06,1.20294092901898e-06,8.41761730597459e-09,9.75233793876548e-09,0.0253913824103999,0.00127562001559302,5.73284107606446e-08,0.150659475014948,3.72408239725628e-06,0.000717261980511136,0.00101405763412591,6.81492889420324e-10,1,1.02003220810743e-13,1.06036984481716,0.000161386473570686,7.1863253185902,3.33043666294612e-07,9.64669186782251e-05,0.00264994359100496,9.43301278514701e-06,0.00151464371073249,0.000709331934430273,5.95637267373181e-07,6.69319302684363,1.05005477527581,0.548631332464004,1.10022790873186e-08,1.00132217224517,0.982519847275689,0.0906188325491512,0,22.4473578172011,2.49656724636504e-06,0.118727450736612,2.89519348478573e-12,5948.42132471753,0.652242646676302,0.0107020912868014,30,1650602735,0,13716.5829103825,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,11.7398526922986,11.8989787429936
"8",488,8,38,488,7.20186611609535,5.64009716127752,1.09863835549568,1.00231791397192,0.932768932676226,0.839551937851369,2.06688319193363,0.760849523339362,0.970043584937959,0.00375690765040569,5.9792381115525e-10,1.76639441301809e-05,9.17650290274527e-09,0.00357535761882457,0.00114095075270067,0.00295385095603067,3.73048325058926e-05,0.148668318381999,0.501473397221416,9.44235863862149e-06,1.13076849284018e-06,7.98618354146888e-09,1.19515214827704e-08,0.0190014643946519,0.00116462488466643,4.3433055784497e-08,0.190374929991347,4.98246220954617e-06,0.000839669342899805,0.00110198082608852,5.64192753892844e-10,1,7.26112557692175e-14,0.947489937792381,0.000149767980111477,6.95888057929016,4.13258256863909e-07,7.74723639129105e-05,0.00334092064983042,6.06106032489016e-06,0.00147892025362256,0.000584794616889697,7.68650545565022e-07,7.01243627893023,1.02938440846815,0.515997296310961,1.07828527730853e-08,0.848018577275285,1.00951957982965,0.100476772643219,0,20.9365270848156,2.25012138471397e-06,0.121898499292508,2.8816798011444e-12,6418.68817271568,0.646554925447702,0.0121963249294121,30,1650602735,0,14851.5286084186,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,10.545335802544,9.80771445583402
"9",516,9,34,534,6.40469790923981,5.35194676463872,1.35007701329726,1.20866288543729,1.09667685506624,0.906876226395741,4.257340126812,0.946280420336228,1.2582686418812,0.00392011441984462,6.5154063837759e-10,2.59225415800401e-05,1.01960560861868e-08,0.00234147957242623,0.00130210534578774,0.00287900796777456,3.98647708110594e-05,0.150855697195977,0.494867660789751,1.30895419860678e-05,1.18713631139261e-06,7.59070319837732e-09,1.54837471116668e-08,0.0154923304712369,0.00160662177036233,5.15738626168742e-08,0.195111915447771,3.43145044575814e-06,0.000836181631524739,0.00073700281423205,5.35526058675491e-10,1,1.09750722426424e-13,0.77152177160185,0.00014052670239348,7.62008517978894,3.17656754199381e-07,0.000107478107820287,0.00399042350846512,8.49719848514027e-06,0.00216073708037854,0.000540364950663625,5.87984653097435e-07,7.84781643649344,1.0210962470919,0.473550353153754,1.11083804918464e-08,0.834489378150518,1.01684251085855,0.091076696615787,0,23.4998083149343,2.02403281304264e-06,0.117722566727176,2.93266326286853e-12,6827.61231603178,0.642506395310164,0.00852299219919968,30,1650602736,0,9890.89698957024,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,10.8160494227155,11.422280833745
"10",520,10,18,416,6.12333239671573,4.59234001585108,0.698068861227274,0.63541167961587,0.594465010293856,0.574657326678813,5.25595134221016,0.737096893809448,1.17768626358078,0.0052937256933521,7.33480276851502e-10,2.33596408700781e-05,8.04001110810838e-09,0.00319855917057043,0.00129103313256455,0.00366104202388258,5.16166470656469e-05,0.150304289805237,0.493952431292273,1.09900480820258e-05,9.65474834146359e-07,5.87246988571411e-09,1.5273078584693e-08,0.0222570551847307,0.00154902706049503,4.30659267938906e-08,0.162603986462119,5.09443329975276e-06,0.000717531166652987,0.000790186222343928,6.10093160239262e-10,1,6.8505215573047e-14,0.673724827862293,0.000142171904613627,9.19424806309441,2.87498332620744e-07,7.86979783351128e-05,0.00349446463005343,9.21847871381698e-06,0.00168375587912274,0.000736949837329884,7.18116566090889e-07,6.66950574472224,0.907372385711898,0.619414667820885,1.10361677391142e-08,0.836587428230903,1.0072676497791,0.0803737496721646,0,25.2860618292541,2.46145290859081e-06,0.120609509390965,2.9818523234718e-12,6494.66008414433,0.649402029567957,0.0136565542923018,30,1650602736,0,16253.620651091,0,4e+08,0,0,0,0,0,0,1e+05,0,0,0,0,1e+05,0,0,0,0,0,0,0,1e+06,0,8.26857740192125,9.07980444399976
