time,L,M,H,dose
0.5,24.28134935,29.87224463,35.50322928,3
1,24.29688484,30.9421577,37.20023085,3
1.5,27.91440486,31.68315143,35.54867457,3
2,38.55681845,57.69008655,73.46850296,3
2.25,4.911849367,6.255183858,7.520470979,3
0.5,80.3713893,93.41747162,108.5837215,10
1,86.26429789,97.97098928,113.8738821,10
1.5,88.39349058,99.23652326,111.4096466,10
2,147.259972,218.2423276,281.508653,10
2.25,9.276178982,17.93912601,26.89556534,10
2.5,4.529922601,6.049492217,7.537134922,10
2.75,5.713112092,6.123835257,6.488571983,10
3,4.231544668,4.588543033,5.15140939,10
0.5,219.9314843,325.9505041,415.5940439,30
1,222.7826743,326.3777462,416.138787,30
1.5,241.8890418,334.4334672,436.4129218,30
2,550.7936906,694.1312027,816.2126221,30
2.25,35.09607641,61.86994676,87.54946004,30
2.5,15.62353209,25.99469652,36.35912261,30
2.75,11.30720216,15.63286991,20.63724449,30
3,7.995964527,11.98809721,15.28543822,30
3.5,5.098587314,7.298418379,9.305857409,30
4,4.495027788,5.665456293,6.739408142,30
0.5,383.2599472,699.5358052,1024.799947,75
1,420.9914764,814.1332336,1178.988269,75
1.5,501.417063,787.3159814,1027.441013,75
2,926.9999024,1596.910416,2083.811561,75
2.25,102.9449935,192.2790968,422.328701,75
2.5,90.69812715,123.9643113,251.0841828,75
2.75,83.69353474,101.8870636,234.3894563,75
3,91.86971441,117.1439773,257.281493,75
3.5,72.98586103,82.89438201,192.903145,75
4,51.6468536,57.98092568,149.7426264,75
5,29.71225963,33.35699637,79.44952783,75
6,27.47182972,27.47182972,66.96105064,75
8,31.36169846,32.84733028,34.40333781,75
10,2.443950461,8.626033315,14.68881871,75
12,5.65063336,5.987186096,6.270948587,75
0.5,1024.776396,1247.602425,1572.384529,150
1,914.0011447,1234.838002,1485.94254,150
1.5,1194.190331,1294.939355,1388.066152,150
2,2012.718629,2233.619523,2982.890683,150
2.5,91.75577871,103.0088885,116.9933195,150
2.75,66.40173352,74.54708633,87.65817264,150
3,52.11002119,58.50493037,66.44752804,150
3.5,34.00716778,38.62218729,42.86106876,150
4,23.51393675,28.95860299,32.51089035,150
5,11.50523094,13.2189466,15.36467865,150
6,5.500031571,7.013144405,9.258396101,150
0.5,2004.916918,2174.063676,2526.963059,225
1,2176.763272,2333.307275,2743.555269,225
1.5,2081.083764,2391.063272,2811.466072,225
2,3716.077677,4471.948298,5258.217573,225
2.5,137.5633812,177.4416657,228.8855364,225
2.75,111.7686618,136.0683653,171.4982448,225
3,73.73522649,94.01619202,117.1385933,225
3.5,49.24639953,72.98418379,99.74638548,225
4,34.84894199,55.35726968,74.78731269,225
5,16.09251727,21.48978962,30.40716651,225
6,9.365714657,14.87736392,20.81012028,225
8,4.924696539,6.207146095,7.733202343,225
