"day","min","mean","max"
0,57.7101326292993,57.7101326292993,57.7101326292993
3,55.0163004472704,55.0163004472704,55.0163004472704
5,58.6370755371423,58.6370755371423,58.6370755371423
7,66.0806072934395,89.4454784548892,118.212230719027
10,93.0805553919985,154.990942456226,260.143984071201
14,132.161214586879,198.41288902335,305.081648890324
17,203.212409556558,286.243191744223,416.256056761741
21,178.890956909778,248.000809132517,349.331732821582
24,151.330328360841,249.984575450974,416.256056761741
28,119.157814092526,119.157814092526,119.157814092526
32,80.0049361602403,107.433823937622,139.741314915684
35,88.7356789515519,88.7356789515519,88.7356789515519
42,70.429555057403,97.6381754718222,132.161214586879
