day,min,opt,max
0,0,0,0
1,0.001893939,0.017045455,0.045454545
2,0.001893939,0.03219697,0.073863636
3,0.087121212,0.191287879,0.28219697
4,0.178030303,0.301136364,0.403409091
5,0.263257576,0.399621212,0.503787879
6,0.339015152,0.475378788,0.583333333
7,0.416666667,0.554924242,0.668560606
8,0.479166667,0.617424242,0.721590909
9,0.496212121,0.636363636,0.734848485
10,0.5625,0.696969697,0.789772727
11,0.613636364,0.75,0.831439394
12,0.630681818,0.761363636,0.854166667
13,0.666666667,0.795454545,0.869318182
14,0.702651515,0.825757576,0.897727273
15,0.71969697,0.827651515,0.909090909
16,0.738636364,0.856060606,0.922348485
17,0.738636364,0.856060606,0.922348485
18,0.738636364,0.856060606,0.922348485
19,0.757575758,0.873106061,0.931818182
20,0.757575758,0.873106061,0.931818182
21,0.757575758,0.873106061,0.931818182
22,0.776515152,0.892045455,0.943181818
23,0.776515152,0.892045455,0.943181818
24,0.799242424,0.90530303,0.954545455
25,0.799242424,0.90530303,0.954545455
26,0.816287879,0.920454545,0.973484848
27,0.816287879,0.920454545,0.973484848
28,0.816287879,0.920454545,0.973484848
