day,min,opt,max
1,0,0,0
2,0.032454361,0.093306288,0.156186613
3,0.073022312,0.160243408,0.237322515
4,0.204868154,0.320486815,0.417849899
5,0.304259635,0.425963489,0.529411765
6,0.478701826,0.602434077,0.697768763
7,0.543610548,0.669371197,0.760649087
8,0.60040568,0.720081136,0.805273834
9,0.636916836,0.762677485,0.839756592
10,0.671399594,0.791075051,0.862068966
11,0.701825558,0.813387424,0.884381339
12,0.750507099,0.853955375,0.9168357
13,0.764705882,0.868154158,0.92494929
14,0.815415822,0.906693712,0.953346856
15,0.829614604,0.922920892,0.963488844
16,0.847870183,0.935091278,0.971602434
17,0.847870183,0.935091278,0.971602434
18,0.847870183,0.935091278,0.971602434
19,0.847870183,0.935091278,0.971602434
20,0.847870183,0.935091278,0.971602434
21,0.868154158,0.935091278,0.979716024
22,0.896551724,0.973630832,0.993914807
23,0.896551724,0.973630832,0.993914807
24,0.896551724,0.973630832,0.993914807
25,0.896551724,0.973630832,0.993914807
26,0.896551724,0.973630832,0.993914807
27,0.896551724,0.973630832,0.993914807
28,0.896551724,0.973630832,0.993914807
