day,min,opt,max
0,0,0,0
1,0.002079002,0.002079002,0.002079002
2,0,0.01039501,0.022869023
3,0.018711019,0.04989605,0.079002079
4,0.074844075,0.118503119,0.162162162
5,0.135135135,0.193347193,0.241164241
6,0.230769231,0.295218295,0.355509356
7,0.301455301,0.372141372,0.434511435
8,0.365904366,0.436590437,0.501039501
9,0.405405405,0.48024948,0.542619543
10,0.455301455,0.528066528,0.592515593
11,0.501039501,0.573804574,0.636174636
12,0.505197505,0.58004158,0.642411642
13,0.557172557,0.62993763,0.69022869
14,0.575883576,0.652806653,0.711018711
15,0.592515593,0.665280665,0.725571726
16,0.615384615,0.69022869,0.744282744
17,0.650727651,0.721413721,0.777546778
18,0.656964657,0.723492723,0.781704782
19,0.656964657,0.723492723,0.781704782
20,0.663201663,0.731808732,0.785862786
21,0.667359667,0.738045738,0.792099792
22,0.671517672,0.742203742,0.796257796
23,0.683991684,0.754677755,0.804573805
24,0.69022869,0.758835759,0.808731809
25,0.704781705,0.773388773,0.823284823
26,0.704781705,0.773388773,0.823284823
27,0.711018711,0.777546778,0.827442827
28,0.717255717,0.783783784,0.831600832
