day,min,opt,max
0,0.00257732,0.00257732,0.00257732
1,0.00257732,0.00257732,0.00257732
2,0.00257732,0.00257732,0.00257732
3,0.00257732,0.030927835,0.06185567
4,0.015463918,0.056701031,0.105670103
5,0.048969072,0.113402062,0.172680412
6,0.072164948,0.144329897,0.213917526
7,0.105670103,0.18814433,0.260309278
8,0.152061856,0.242268041,0.319587629
9,0.170103093,0.262886598,0.345360825
10,0.180412371,0.273195876,0.358247423
11,0.224226804,0.324742268,0.414948454
12,0.257731959,0.365979381,0.458762887
13,0.280927835,0.396907216,0.487113402
14,0.304123711,0.422680412,0.518041237
15,0.304123711,0.422680412,0.518041237
16,0.304123711,0.422680412,0.518041237
17,0.304123711,0.422680412,0.518041237
18,0.304123711,0.422680412,0.518041237
19,0.304123711,0.422680412,0.518041237
20,0.332474227,0.451030928,0.548969072
21,0.347938144,0.471649485,0.569587629
22,0.363402062,0.494845361,0.595360825
23,0.363402062,0.494845361,0.595360825
24,0.363402062,0.494845361,0.595360825
25,0.363402062,0.494845361,0.595360825
26,0.384020619,0.515463918,0.621134021
27,0.384020619,0.515463918,0.621134021
28,0.384020619,0.515463918,0.621134021
29,0.384020619,0.515463918,0.621134021
30,0.384020619,0.515463918,0.621134021
31,0.404639175,0.541237113,0.649484536
