day,min,opt,max
0,0.00257732,0.00257732,0.030927835
1,0.00257732,0.012886598,0.030927835
2,0.00257732,0.010309278,0.030927835
3,0.007731959,0.051546392,0.092783505
4,0.020618557,0.072164948,0.12371134
5,0.06443299,0.136597938,0.198453608
6,0.105670103,0.18814433,0.260309278
7,0.167525773,0.260309278,0.342783505
8,0.195876289,0.291237113,0.37628866
9,0.255154639,0.355670103,0.445876289
10,0.278350515,0.381443299,0.471649485
11,0.296391753,0.407216495,0.49742268
12,0.322164948,0.43556701,0.528350515
14,0.347938144,0.466494845,0.56185567
16,0.363402062,0.484536082,0.577319588
19,0.396907216,0.523195876,0.621134021
20,0.414948454,0.543814433,0.644329897
21,0.414948454,0.543814433,0.644329897
22,0.414948454,0.543814433,0.644329897
23,0.414948454,0.543814433,0.644329897
24,0.414948454,0.543814433,0.644329897
25,0.414948454,0.543814433,0.644329897
26,0.414948454,0.543814433,0.644329897
27,0.432989691,0.56443299,0.670103093
28,0.432989691,0.56443299,0.670103093
29,0.432989691,0.56443299,0.670103093
