day,min,opt,max
0,0,0,0
1,0.002590674,0.018134715,0.056994819
2,0,0.041450777,0.090673575
3,0.098445596,0.222797927,0.331606218
4,0.147668394,0.28238342,0.398963731
5,0.251295337,0.409326425,0.531088083
6,0.367875648,0.531088083,0.650259067
7,0.409326425,0.57253886,0.689119171
8,0.468911917,0.632124352,0.743523316
9,0.468911917,0.634715026,0.74611399
10,0.577720207,0.733160622,0.831606218
11,0.624352332,0.777202073,0.865284974
12,0.647668394,0.797927461,0.883419689
13,0.694300518,0.836787565,0.914507772
14,0.720207254,0.857512953,0.92746114
15,0.740932642,0.880829016,0.948186528
16,0.740932642,0.880829016,0.948186528
17,0.766839378,0.898963731,0.958549223
18,0.766839378,0.898963731,0.958549223
19,0.79015544,0.917098446,0.968911917
20,0.79015544,0.917098446,0.968911917
21,0.79015544,0.917098446,0.968911917
22,0.79015544,0.917098446,0.968911917
23,0.79015544,0.917098446,0.968911917
24,0.79015544,0.917098446,0.968911917
25,0.79015544,0.917098446,0.968911917
26,0.81865285,0.940414508,0.984455959
27,0.81865285,0.940414508,0.984455959
28,0.81865285,0.940414508,0.984455959
