day,min,opt,max
0,0,0,0
1,0,0,0
2,0.012953368,0.090673575,0.163212435
3,0.059585492,0.163212435,0.251295337
4,0.160621762,0.29015544,0.398963731
5,0.25388601,0.398963731,0.512953368
6,0.430051813,0.580310881,0.694300518
7,0.505181347,0.655440415,0.756476684
8,0.541450777,0.694300518,0.792746114
9,0.580310881,0.727979275,0.821243523
10,0.663212435,0.803108808,0.880829016
11,0.683937824,0.816062176,0.896373057
12,0.748704663,0.873056995,0.937823834
13,0.769430052,0.89119171,0.948186528
14,0.813471503,0.930051813,0.971502591
15,0.836787565,0.945595855,0.984455959
16,0.860103627,0.96373057,0.989637306
17,0.860103627,0.961139896,0.989637306
18,0.860103627,0.961139896,0.989637306
19,0.862694301,0.966321244,0.989637306
20,0.862694301,0.966321244,0.989637306
21,0.862694301,0.966321244,0.989637306
22,0.875647668,0.981865285,0.997409326
23,0.875647668,0.981865285,0.997409326
24,0.875647668,0.981865285,0.997409326
25,0.875647668,0.981865285,0.997409326
26,0.875647668,0.981865285,0.997409326
27,0.875647668,0.981865285,0.997409326
28,0.875647668,0.981865285,0.997409326
