"day","min","opt","max"
1,0.0148402832068883,0.0272140678507324,0.0464340376801697
2,0.0737031613023991,0.103934285431141,0.145132519241992
3,0.16418732175694,0.217759340211634,0.267221445324113
4,0.272517810542079,0.33707896098748,0.396162062168977
5,0.356117246770979,0.423431185791206,0.483871411740092
6,0.415007652752238,0.47820066727595,0.541388176222513
7,0.483502538071066,0.546712069326227,0.608503914465353
8,0.541024808130636,0.604212317077199,0.666037195679223
9,0.58890956538974,0.657608157063105,0.718048383011991
10,0.610706145325214,0.676657454000903,0.732976755453274
11,0.643497362828545,0.710816807425922,0.76163603730579
12,0.669409361683385,0.732602376207098,0.784800753162954
13,0.713184205600273,0.777745356045674,0.827207461158153
14,0.726738936542717,0.791305592565268,0.842130328022286
15,0.747161874979354,0.813113183655042,0.861179624960084
16,0.745612055011727,0.811557858110265,0.859624299415307
17,0.76053492187586,0.826469713820099,0.870426241782926
19,0.760204587246881,0.826133873613971,0.870095907153947
20,0.770973496151601,0.831424733254787,0.880864816058667
21,0.792759064932777,0.855968596187938,0.897166829998788
23,0.80062653467963,0.865182179547882,0.903638635938205
24,0.800450356210841,0.862247706927117,0.907577876388782
25,0.809884162656771,0.871692524527346,0.914275410991334
26,0.813823403107347,0.881120825396126,0.919582787363599
29,0.818745389079137,0.880559256526861,0.916284946650957
