"day","min","opt","max"
1,0.0162271805273834,0.0466531440162271,0.0780933062880325
2,0.052738336713996,0.126774847870182,0.196754563894523
3,0.13894523326572,0.240365111561866,0.327586206896552
4,0.254563894523327,0.373225152129817,0.473630831643002
5,0.391480730223124,0.51419878296146,0.613590263691683
6,0.511156186612576,0.635902636916836,0.72920892494929
7,0.572008113590264,0.6947261663286,0.782961460446247
8,0.618661257606491,0.741379310344828,0.822515212981744
9,0.654158215010142,0.776876267748479,0.850912778904665
10,0.686612576064909,0.802231237322515,0.873225152129817
11,0.726166328600406,0.83367139959432,0.900608519269777
12,0.757606490872211,0.86105476673428,0.920892494929006
13,0.790060851926978,0.887423935091278,0.939148073022312
14,0.822515212981744,0.914807302231237,0.95841784989858
15,0.838742393509128,0.929006085192698,0.967545638945233
20,0.858012170385395,0.935091277890466,0.975659229208925
21,0.882352941176471,0.954361054766734,0.986815415821501
28,0.896551724137931,0.973630831643002,0.993914807302231
