"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"parnum",515,233,117,140,494,105,277,88,169,240,314,549,417,510,657,683,690,807,620,764,688,745,640,739,565,949,1020,1012,1055,954,1120,903,1129,765,1021,1038,1116,1115,1109,1136,1140,1238,1211,1239,1144,1245,1206,1458,1360,1377,1335,1326,1429,1270,1390,1293,1547,1438,1486,1473,1387,1542,1311,1560,1555,1694,1656,1662,1644,1669,1674,1732,1682,1743,1755,1792,1790,1764,1824,1819,1884,1887,1990,1985,1899,1986,1853,1978,1949,1909,1966,1930,1985,1969,1935,1864,1915,1923,1983,1886
"parnum",22,23,11,78,15,29,152,71,272,423,395,217,392,342,377,236,93,321,318,196,224,156,129,154,265,439,388,103,467,171,206,396,297,450,363,346,472,90,451,94,782,683,632,557,679,763,684,712,1001,756,1046,730,586,833,1037,954,916,819,993,986,979,923,959,839,1023,1121,1114,1070,1098,1168,1180,1250,1201,1157,1438,1435,1437,1401,1335,1292,1419,1411,1550,1500,1303,1590,1558,1666,1629,1664,1694,1693,1734,1738,1766,1824,1935,1863,1907,1914
"parnum",24,49,260,381,96,115,351,194,290,467,107,161,392,52,159,357,319,536,476,564,773,692,587,770,607,586,682,717,651,805,802,632,590,1127,882,995,958,957,750,872,868,857,965,849,1016,1142,1141,1131,1104,1252,1190,1261,1256,1217,1153,1350,1315,1293,1281,1546,1274,1320,1423,1319,1289,1520,1512,1369,1477,1554,1565,1617,1626,1621,1641,1710,1676,1865,1736,1785,1764,1768,1824,1874,1495,1978,1987,1974,1877,1959,1990,1840,1866,1862,1854,1913,1925,1927,1905,1807
"parnum",33,288,75,103,245,161,89,290,365,107,243,165,298,501,521,531,463,352,669,611,620,725,634,606,729,621,698,658,813,758,1022,941,1036,827,854,1053,1052,986,1011,970,741,998,1110,1131,1094,1125,1843,1187,1260,1185,1068,1096,1315,1313,1304,1401,1419,1318,1446,1453,1432,1539,1387,1549,1515,1487,1500,1594,1639,1669,1656,1667,1680,1606,1710,1716,1744,1788,1783,1768,1820,1957,1988,1940,1945,1887,1878,1849,1982,1996,1864,1996,1807,1947,1867,1958,1919,1931,1866,1876
"parnum",71,271,178,264,163,180,228,388,217,165,185,108,87,414,516,325,523,530,525,794,757,607,621,641,696,625,631,787,669,709,623,1010,990,987,872,827,852,1038,935,1004,926,1128,1017,1097,1122,1141,1115,1100,1118,1222,1157,1264,1150,1459,1324,1364,1539,1517,1431,1345,1449,1351,1299,1333,1505,1461,1455,1565,1591,1619,1552,1654,1621,1702,1699,1736,1722,1777,1785,1768,1819,1953,1902,1866,1863,1837,1841,1842,1837,1899,1892,1908,1853,1975,1729,1971,1868,1979,1910,1851
"parnum",36,124,30,189,176,221,178,296,217,389,437,95,265,431,488,400,409,179,703,385,625,789,756,779,790,588,676,807,711,746,739,581,783,1057,1023,1041,848,834,896,819,957,1004,1032,1138,1087,1048,1107,1163,1247,1185,1183,1218,1241,1339,1316,1313,1376,1402,1321,1438,1331,1322,1318,1343,1581,1488,1472,1406,1506,1585,1646,1589,1607,1663,1629,1711,1698,1751,1746,1766,1791,1762,1822,1819,1866,1907,1861,1876,1965,1823,1976,1990,1996,1866,1957,1863,1929,1926,1956,1990
"parnum",88,104,430,253,291,418,274,420,172,278,207,313,318,116,550,474,543,551,483,818,616,648,766,812,756,671,599,586,706,607,461,967,829,954,996,876,990,851,1101,788,939,828,871,1117,1110,1108,920,1225,1210,1434,1150,1191,1843,1540,1270,1447,1361,1382,1357,1464,1276,1456,1316,1367,1498,1473,1545,1558,1572,1645,1668,1596,1638,1671,1704,1658,1746,1730,1785,1795,1768,1822,1944,1970,1877,1906,1844,1961,1849,1999,1839,1875,1932,1896,1923,1898,1881,1952,1904,1974
"parnum",41,55,297,301,342,161,529,116,125,283,289,223,318,160,131,93,112,215,307,397,469,695,375,500,522,632,618,606,631,650,609,716,572,718,797,762,803,890,993,848,1034,861,919,868,850,997,925,1127,870,1136,1080,1079,1228,1245,1147,1210,1207,1096,1165,1312,1548,1304,1410,1361,1271,1378,1411,1494,1417,1576,1549,1521,1491,1532,1556,1586,1651,1598,1689,1621,1668,1699,1686,1865,1717,1764,1791,1820,1824,1882,1913,1890,1925,1932,1933,1983,1896,1963,1911,1989
"parnum",15,132,494,215,431,285,221,109,340,113,326,426,354,119,85,182,88,117,163,153,508,518,478,367,936,645,669,605,711,807,592,621,777,746,805,775,869,569,880,950,906,1030,1055,1007,1035,783,1041,923,1108,1103,1119,1112,1232,1174,1256,1196,1100,1240,1286,1375,1463,1363,1330,1288,1296,1295,1390,1447,1492,1333,1467,1489,1538,1571,1558,1652,1608,1598,1601,1695,1701,1696,1746,1787,1783,1819,1824,1923,1897,2000,1909,1925,1877,1961,1936,1886,1995,1859,1921,1999
"parnum",19,425,137,253,132,260,402,97,371,154,316,144,561,551,401,319,511,198,800,693,603,781,973,690,775,739,570,650,651,691,1041,851,984,916,1025,1034,959,1116,664,935,1091,721,1072,1135,1205,920,1198,1078,1244,1155,1232,1222,1381,1412,1345,1309,1429,1313,1277,1291,1274,1316,1350,1505,1303,1478,1424,1529,1666,1555,1623,1617,1632,1672,1678,1676,1738,1715,1786,1781,1822,1819,1949,1839,1873,1931,1975,1838,1918,1980,1982,1861,1909,1859,1823,1885,1981,1934,1972,1881
"parnum",29,277,388,426,132,102,136,418,276,186,227,101,549,485,531,492,561,287,669,527,641,609,810,797,693,487,589,619,818,732,704,686,1091,1037,1005,1129,981,875,882,1002,783,828,1205,1125,1122,1086,1248,1165,1189,1216,1197,1148,1462,1270,1360,1375,1359,1265,1319,1278,1275,1268,1301,1538,1531,1576,1468,1692,1510,1589,1680,1648,1656,1682,1681,1716,1771,1762,1776,1768,1819,1902,1912,1837,1942,1999,1936,1858,1948,1894,1930,1903,1983,1854,1943,1936,1971,1992,1859,1905
