"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"parnum",21,145,42,96,67,86,154,179,170,173,159,335,246,374,376,485,422,456,505,341,517,511,523,573,641,681,658,695,667,663,698,724,753,755,791,792,1305,814,874,892,909,896,961,977,985,987,1007,1136,1042,1126,1232,1123,1474,1086,1216,1229,1264,1394,1268,1572,1857,1436,1910,1536,1449,1883,1262,1835,1261,1946,1404,1835,1510,1382,1255,1470,1972,1811,1313,1828,1263,1414,1378,1398,1597,1588,1637,1386,1405,1907,1472,1939,1527,1577,1718,1441,1766,1561,1039,1809
"parnum",7,18,43,44,213,63,190,109,97,204,189,196,166,93,289,259,306,253,173,283,394,343,402,353,473,490,516,459,540,576,582,475,598,712,579,578,1466,675,697,1727,719,736,757,781,749,751,848,815,931,852,895,912,961,1102,985,1051,967,1076,1048,1765,1131,1104,1213,1222,1165,1831,1207,1177,1195,1370,1789,1555,1528,1403,1333,1567,1712,1300,1633,1555,1691,1385,1306,1412,1396,1886,1873,1535,1939,1718,1533,1875,1348,1924,1469,1560,1327,1832,1346,1967
"parnum",75,55,46,134,64,140,189,210,179,216,324,253,228,252,250,354,493,343,456,355,508,413,386,510,574,531,585,646,606,684,610,683,735,745,749,820,737,838,888,868,1335,853,979,899,1336,1429,1046,1959,1030,1065,997,1155,1193,1143,1106,1144,1264,1180,1210,1274,1844,1910,1587,1415,1537,1227,1472,1411,1252,1895,1546,1512,1596,1611,1953,1934,1721,1814,1361,1797,1968,1716,1449,1807,1971,1068,1602,1369,1955,1664,1578,1508,1633,1527,1800,1689,1531,1379,1569,1805
"parnum",84,23,129,148,152,142,209,160,192,233,294,293,314,329,309,394,456,387,410,434,356,458,511,462,574,544,593,609,634,677,655,657,682,753,778,782,762,780,891,965,923,870,897,933,945,939,908,967,1034,1129,1128,1193,1061,1168,1139,1180,1231,1394,1274,1227,1348,1602,1349,1678,1482,1908,1554,1797,1293,1984,1717,1485,1559,1606,1470,465,1676,1811,1511,1927,1692,1342,1591,1318,1323,1853,1974,1291,1780,1966,1714,1725,1638,1953,1788,1886,1935,1856,1909,1758
"parnum",49,111,58,128,71,137,215,175,181,94,240,320,306,178,367,389,384,467,399,417,400,449,509,569,558,619,579,681,714,670,698,728,883,791,829,799,768,812,901,892,1067,906,903,963,1044,908,1013,1043,1048,1127,1161,1063,1199,1154,1474,1207,1194,1274,1268,1853,1559,1663,1551,1833,1209,1862,1674,1645,1995,1843,1700,1670,1687,2000,1736,1374,1726,1723,1261,1585,1763,811,1330,1595,1834,1289,1762,1509,1924,1823,1263,1398,1022,1973,1735,1507,1653,1511,1633,1796
"parnum",47,25,46,99,120,193,179,210,212,158,317,304,335,319,411,385,394,412,263,496,341,472,390,500,521,529,470,608,645,630,674,710,691,648,745,805,752,796,817,815,874,880,895,979,915,905,971,1870,1959,996,1069,1105,1142,1133,1165,1184,1171,1174,1237,1264,1195,1274,1610,1595,1803,465,1566,1756,1776,1462,1533,1671,1428,1875,1302,1545,1823,1455,1461,1445,1789,1591,1610,1619,1859,1975,1845,1340,1341,1925,1446,1958,1712,1783,1693,1310,1364,1879,1414,1437
"parnum",32,31,116,137,102,107,60,334,182,179,207,325,246,291,298,384,418,425,374,403,497,441,356,540,532,520,557,658,1466,602,605,727,581,665,653,763,807,820,805,831,817,836,880,861,881,959,921,905,1000,1026,1013,1111,1130,1093,1149,1228,1166,1190,1112,1964,1229,1268,1274,1852,1713,1847,1614,1734,1437,1680,1794,1741,1944,1608,1662,1068,1441,1952,1962,1353,1894,1851,1597,1567,1360,1388,1339,1581,1999,1469,1661,1672,1869,1844,1503,1445,1253,1793,1280,1543
"parnum",95,51,161,64,201,42,208,272,230,222,278,321,258,239,257,473,426,401,396,377,441,499,472,504,532,544,640,609,616,629,703,663,705,1665,745,846,794,788,844,839,975,1067,896,960,1005,1012,941,1038,1073,1094,1035,1058,1132,1153,1240,1230,1249,1394,1274,1388,1518,1745,1490,1356,1340,1387,1509,1311,1660,1833,1929,1687,1380,1663,1565,1771,1327,1806,1415,1363,1580,1618,1343,1683,1323,1276,1629,1549,1597,1553,1963,1408,1835,1414,1622,1785,1762,1725,1900,1900
"parnum",50,95,121,40,70,126,234,164,200,176,286,372,328,296,320,387,364,467,353,401,468,393,461,533,544,589,555,626,707,639,530,655,661,720,743,751,754,835,774,775,891,966,858,950,853,938,963,1001,1109,1054,1024,997,1127,1058,1123,1153,1235,1229,1249,1195,1274,1350,1585,1563,1286,1472,1999,1644,738,1750,1332,1529,1599,1113,1673,1948,1715,1040,1851,1372,1777,1113,1739,1321,1525,1412,1568,1940,1819,1312,1670,1379,1873,1778,1822,811,1022,1578,1811,1577
"parnum",43,37,128,85,213,103,157,217,176,216,314,239,267,351,262,374,362,241,388,358,502,541,499,556,598,531,701,591,658,645,680,708,581,930,769,762,782,747,840,770,931,884,750,895,922,961,983,1027,1007,1073,1020,1099,1232,1097,1186,1184,1177,1264,1268,1195,1325,1669,1611,1864,1520,1933,1103,1994,1904,1633,1603,1501,1863,1983,1960,1676,1989,1552,1709,1649,1692,1381,1958,1252,1487,1565,1973,1671,1453,1599,1844,1322,1817,1817,1736,1083,1477,1559,1459,1972
