,ipr,ip,Recoveredt,minevent,damageD0,damageD1,damageD10,damageD11,damageD12,damageD15,damageD28,K14,K16,K13,K11,K18,K48,K29,K15,K42,K34,K40,K31,K27,K24,K47,K26,K25,K28,K288,K45,K37,K32,K322,K3222,unnamed,K49,K53,K57,K59,K245,K400,K401,K500,K501,K555,K556,KpC,Kp14,Kp41,K1314,Km,F_intracellular,Kc,Kcell,Knew,CL_percell,F_extracellular,V_percell,V1,Kn1,Krenew,timeout,starttime,Epitheliumwithreplicatedinfluenza,FreeInfluenza,Epitheliumwithinfluenzaparticle,EpitheliumLung,InfectedAPC,IL6,ResistantEpithelium,IFNA1,TcLymphnode,ActivatedAPCLymphnode,A,EpiKilledbyIFN,EpiKilledbyIL6,EpiKilledbyTc,EpiKilledbyVirus,Tnaive,IgG,IgM,CR,CRP,KCon,C_intracellularRDV_total,C_extracellularRDV_total,cell_number,TP,incDay,Day_After_syp
1,27,1,22,408,6.373310047,4.86444461,0.553540536,0.462150109,0.392049013,0.262611547,0.144436923,1.054016424,1.064842172,0.004619564,5.24E-10,2.76E-05,7.16E-09,0.002572023,0.000930362,0.003204971,5.42E-05,0.14918379,0.496999807,1.23E-05,1.03E-06,6.08E-09,1.59E-08,0.017378,0.001639363,6.25E-08,0.155294461,5.29E-06,0.000808315,0.000819526,6.58E-10,1,9.02E-14,0.656258978,0.000177386,7.740170997,3.21E-07,0.00011734,0.002813094,8.13E-06,0.00173277,0.000585154,6.56E-07,8.091411851,1.129241243,0.590345719,1.09E-08,0.915619362,1,0.084129347,0,23.26207866,2.43E-06,0.12,2.87E-12,7424.143458,0.637128955,0.012974607,30,1650602735,0,13616.51536,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,5.700795276,11.29813051
2,28,2,36,480,6.845224785,5.481307487,1.202677965,1.089409261,1.001676025,0.84758449,1.368101493,0.709360509,1.187703923,0.004150718,7.65E-10,2.28E-05,8.94E-09,0.002384682,0.000959938,0.002820557,3.63E-05,0.148272271,0.494309607,1.17E-05,1.23E-06,6.12E-09,1.45E-08,0.021444597,0.001406998,5.19E-08,0.135810443,3.48E-06,0.000752914,0.000971878,5.95E-10,1,8.09E-14,0.918553177,0.000139415,9.414770925,3.06E-07,0.000110094,0.002536187,9.34E-06,0.001763376,0.000650751,4.95E-07,7.484723171,0.957826076,0.555010406,1.10E-08,0.963681028,1,0.079582893,0,22.1691007,2.29E-06,0.12,2.94E-12,7244.943797,0.62986356,0.010855226,30,1650602735,0,13757.96774,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,11.35488092,8.589452853
3,99,3,28,376,6.935787689,5.194936087,0.520073484,0.429133753,0.360070269,0.234491445,0.119172185,0.844248263,0.95325711,0.004368353,6.35E-10,1.73E-05,9.37E-09,0.002627503,0.001061529,0.003666038,4.72E-05,0.147008469,0.501879496,9.30E-06,8.88E-07,6.05E-09,1.39E-08,0.017530961,0.001218842,5.55E-08,0.135899462,4.99E-06,0.00086976,0.000754479,6.18E-10,1,1.03E-13,0.687445855,0.000178957,7.679602304,2.98E-07,0.000112173,0.003153318,5.93E-06,0.001758111,0.000715498,7.92E-07,7.484723171,0.957826076,0.555010406,1.12E-08,0.943010209,1,0.084811661,0,23.07526539,2.33E-06,0.12,2.93E-12,7244.943797,0.641463838,0.013351829,30,1650602735,0,12762.06351,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,7.056113847,8.579210316
4,275,4,28,576,6.021326953,5.124697082,2.266932048,2.21440117,2.187496301,2.240425415,5.132126939,1.006797521,0.816197083,0.004386837,7.53E-10,2.06E-05,9.82E-09,0.003209018,0.001157975,0.003349609,4.06E-05,0.151058283,0.497103724,8.56E-06,1.21E-06,8.25E-09,1.55E-08,0.02465074,0.001368142,5.42E-08,0.166235854,3.72E-06,0.000872562,0.000923955,7.41E-10,1,9.15E-14,0.951545696,0.000129158,8.940047167,2.83E-07,9.47E-05,0.002857343,6.61E-06,0.001578151,0.000591315,7.72E-07,7.566817981,0.854518052,0.502608675,1.11E-08,0.967129193,1,0.086972748,0,23.89266309,2.19E-06,0.12,2.92E-12,7965.326382,0.644812315,0.010962728,30,1650602735,0,12440.67068,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,12.14541572,11.80390411
5,330,5,36,448,7.206524585,5.619359691,0.850339498,0.74521766,0.671577922,0.604554299,7.220153629,0.896876514,1.221945759,0.005512541,7.12E-10,2.30E-05,1.03E-08,0.003305064,0.001020259,0.003767269,4.75E-05,0.149813908,0.493690844,9.32E-06,1.24E-06,6.67E-09,1.28E-08,0.018479135,0.001565905,4.85E-08,0.193374131,5.38E-06,0.000651573,0.001133482,5.41E-10,1,7.41E-14,0.98390515,0.000170042,8.925427281,2.65E-07,0.000111645,0.003717512,7.84E-06,0.001579422,0.000598283,7.43E-07,6.836729335,0.923060431,0.587984758,1.10E-08,0.995033898,1,0.083490723,0,24.49162623,2.34E-06,0.12,2.97E-12,8023.218091,0.631094899,0.011228488,30,1650602735,0,10822.31627,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.14390918,8.534923056
6,345,6,30,502,6.288688766,5.16303385,3.14528351,3.391811009,3.697899056,4.914433092,9.256285131,0.915317158,1.231109235,0.004476882,6.78E-10,2.34E-05,8.36E-09,0.003031073,0.000914647,0.003030537,3.95E-05,0.148693563,0.504458265,9.59E-06,9.03E-07,8.71E-09,1.25E-08,0.0205633,0.001711327,6.11E-08,0.2072148,4.96E-06,0.000708241,0.00087434,7.58E-10,1,9.63E-14,0.898758589,0.000169072,9.218798073,2.73E-07,9.53E-05,0.004005414,9.20E-06,0.001949034,0.000634729,5.39E-07,6.691790987,0.825041487,0.514838087,1.11E-08,0.94245526,1,0.084986303,0,24.37401288,2.42E-06,0.12,2.92E-12,7044.692805,0.629923337,0.011507277,30,1650602735,0,15029.59464,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.76997358,10.1166364
7,394,7,40,568,6.242449734,5.420260924,3.234147727,3.270344552,3.337782968,3.713913571,8.165998714,0.913117755,1.173012794,0.004112368,6.50E-10,2.07E-05,8.71E-09,0.003372349,0.000898263,0.003483446,4.18E-05,0.148209539,0.49569124,9.75E-06,1.20E-06,8.42E-09,9.75E-09,0.025391382,0.00127562,5.73E-08,0.150659475,3.72E-06,0.000717262,0.001014058,6.81E-10,1,1.02E-13,1.060369845,0.000161386,7.186325319,3.33E-07,9.65E-05,0.002649944,9.43E-06,0.001514644,0.000709332,5.96E-07,7.359258439,0.813369382,0.482672745,1.10E-08,0.974102972,1,0.083622738,0,24.87631094,2.55E-06,0.12,2.90E-12,7666.056866,0.652242647,0.010702091,30,1650602735,0,13716.58291,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,11.73985269,11.89897874
8,488,8,38,488,7.201866116,5.640097161,1.098638355,1.002317914,0.932768933,0.839551938,2.066883192,0.760849523,0.970043585,0.003756908,5.98E-10,1.77E-05,9.18E-09,0.003575358,0.001140951,0.002953851,3.73E-05,0.148668318,0.501473397,9.44E-06,1.13E-06,7.99E-09,1.20E-08,0.019001464,0.001164625,4.34E-08,0.19037493,4.98E-06,0.000839669,0.001101981,5.64E-10,1,7.26E-14,0.947489938,0.000149768,6.958880579,4.13E-07,7.75E-05,0.003340921,6.06E-06,0.00147892,0.000584795,7.69E-07,7.359258439,0.813369382,0.482672745,1.08E-08,0.963089189,1,0.083739895,0,24.99407805,2.55E-06,0.12,2.88E-12,7666.056866,0.646554925,0.012196325,30,1650602735,0,14851.52861,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.5453358,9.807714456
9,516,9,34,534,6.404697909,5.351946765,1.350077013,1.208662885,1.096676855,0.906876226,4.257340127,0.94628042,1.258268642,0.003920114,6.52E-10,2.59E-05,1.02E-08,0.00234148,0.001302105,0.002879008,3.99E-05,0.150855697,0.494867661,1.31E-05,1.19E-06,7.59E-09,1.55E-08,0.01549233,0.001606622,5.16E-08,0.195111915,3.43E-06,0.000836182,0.000737003,5.36E-10,1,1.10E-13,0.771521772,0.000140527,7.62008518,3.18E-07,0.000107478,0.003990424,8.50E-06,0.002160737,0.000540365,5.88E-07,6.474863659,0.78714464,0.606288557,1.11E-08,0.870338616,1,0.083678511,0,24.15678573,2.55E-06,0.12,2.93E-12,7296.902843,0.642506395,0.008522992,30,1650602736,0,9890.89699,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.81604942,11.42228083
10,520,10,18,416,6.123332397,4.592340016,0.698068861,0.63541168,0.59446501,0.574657327,5.255951342,0.737096894,1.177686264,0.005293726,7.33E-10,2.34E-05,8.04E-09,0.003198559,0.001291033,0.003661042,5.16E-05,0.15030429,0.493952431,1.10E-05,9.65E-07,5.87E-09,1.53E-08,0.022257055,0.001549027,4.31E-08,0.162603986,5.09E-06,0.000717531,0.000790186,6.10E-10,1,6.85E-14,0.673724828,0.000142172,9.194248063,2.87E-07,7.87E-05,0.003494465,9.22E-06,0.001683756,0.00073695,7.18E-07,6.095186341,0.951966003,0.562963139,1.10E-08,0.973123035,1,0.094968843,0,23.55665404,2.40E-06,0.12,2.98E-12,6149.254026,0.64940203,0.013656554,30,1650602736,0,16253.62065,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,8.268577402,9.079804444
11,575,11,30,418,6.899273155,5.23769987,0.57193993,0.469350589,0.390318781,0.243722383,0.111184086,0.841445265,1.120379051,0.005733128,6.36E-10,2.77E-05,1.01E-08,0.002710852,0.000917882,0.00368984,4.26E-05,0.150911283,0.496272465,1.27E-05,8.22E-07,7.07E-09,1.26E-08,0.016716975,0.001211597,3.98E-08,0.163300928,4.98E-06,0.000920813,0.000818977,6.46E-10,1,7.13E-14,0.820335124,0.000172817,9.994230905,2.67E-07,8.90E-05,0.002736656,6.07E-06,0.001536067,0.000636747,5.53E-07,6.558294465,0.887570845,0.540490201,1.09E-08,0.916551575,1,0.092584188,0,22.58976321,2.58E-06,0.12,2.88E-12,7038.609266,0.634388949,0.01215304,30,1650602736,0,8730.45415,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,6.671122218,10.70529162
12,597,12,24,434,6.549515162,4.959421007,0.701226496,0.620979867,0.562214578,0.472544395,1.337104233,1.061103571,1.241548194,0.004003764,6.38E-10,1.68E-05,9.15E-09,0.002481816,0.001297537,0.003395597,5.09E-05,0.150897879,0.500546277,9.40E-06,1.19E-06,8.26E-09,1.32E-08,0.017376353,0.001704363,4.94E-08,0.137729148,3.91E-06,0.000606571,0.000771787,7.54E-10,1,1.02E-13,0.699836109,0.00012077,6.788438395,2.91E-07,0.000114268,0.00400857,9.25E-06,0.001584731,0.000755941,7.09E-07,6.617799348,0.938138158,0.588863687,1.09E-08,0.919110405,1,0.096422101,0,25.17446341,2.47E-06,0.12,2.90E-12,7575.592591,0.649982965,0.013289294,30,1650602736,0,10807.4551,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,7.984672255,10.11074794
13,610,13,28,558,6.179126698,5.147888684,1.184341684,1.032682653,0.906643542,0.641997514,0.395530909,0.91977205,0.960821716,0.005643955,5.11E-10,2.69E-05,6.89E-09,0.003169178,0.001022548,0.002593215,4.66E-05,0.147392589,0.505156442,1.15E-05,1.27E-06,6.42E-09,1.42E-08,0.020402681,0.001473077,5.92E-08,0.178490318,4.44E-06,0.0008638,0.000864981,4.74E-10,1,1.05E-13,1.01441221,0.000156713,7.946311533,2.73E-07,0.000107328,0.002933648,6.88E-06,0.002112602,0.000643303,7.85E-07,7.590493994,0.856815231,0.498798608,1.12E-08,0.889165729,1,0.094271649,0,23.87976659,2.45E-06,0.12,2.88E-12,7931.621021,0.648068963,0.008747858,30,1650602736,0,13554.43763,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,12.1180115,11.10467992
14,613,14,26,448,6.640544955,5.005616263,0.860468917,0.811339297,0.788229697,0.846069593,4.986941183,0.789904613,1.018293541,0.003984683,7.21E-10,1.91E-05,9.36E-09,0.00322055,0.000885954,0.003962001,4.43E-05,0.148757539,0.494013703,1.21E-05,8.40E-07,6.63E-09,1.27E-08,0.017514201,0.00136587,6.25E-08,0.147258476,4.91E-06,0.000625704,0.001074698,6.41E-10,1,9.38E-14,1.011096931,0.000164903,7.413049417,3.48E-07,8.74E-05,0.002911506,9.74E-06,0.00161682,0.000687469,5.48E-07,6.224975608,1.157757287,0.58609556,1.11E-08,0.921917216,1,0.092746194,0,24.60199436,2.52E-06,0.12,2.88E-12,7093.228836,0.628156687,0.013623526,30,1650602736,0,17889.65615,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,9.577167692,9.078178624
15,684,15,30,464,6.825947217,5.228849454,0.749242903,0.659703507,0.594073046,0.495048527,1.398288747,0.765380723,0.95449864,0.004525752,4.92E-10,1.67E-05,1.01E-08,0.002962924,0.001076548,0.003196232,4.88E-05,0.151123719,0.501568595,1.24E-05,1.22E-06,9.36E-09,1.18E-08,0.018208141,0.001181349,3.98E-08,0.176325915,3.62E-06,0.000667414,0.000830472,5.64E-10,1,7.81E-14,0.73997694,0.000155227,7.173759179,4.09E-07,0.000101266,0.004147922,7.69E-06,0.001942905,0.000721089,6.64E-07,6.046487128,0.956823578,0.544833449,1.10E-08,0.938327013,1,0.095064908,0,25.47100772,2.57E-06,0.12,2.92E-12,6799.805181,0.631262734,0.012845165,30,1650602736,0,5956.150971,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.62752621,8.710444261
16,712,16,8,486,5.36065724,4.294584721,1.559525949,1.553557837,1.573374465,1.777640944,6.128703509,0.989418069,1.167067182,0.004894334,5.41E-10,2.06E-05,7.60E-09,0.002958773,0.001105472,0.003741222,3.65E-05,0.151671894,0.505686197,1.08E-05,1.06E-06,9.40E-09,1.56E-08,0.022560476,0.001722836,5.17E-08,0.15501091,3.44E-06,0.000768668,0.001095699,7.20E-10,1,1.09E-13,0.706172016,0.000109604,9.361921551,3.86E-07,0.000108089,0.003915399,7.12E-06,0.002141005,0.00065173,6.73E-07,5.726144135,1.144640545,0.568969759,1.10E-08,0.88425761,1,0.092697502,0,24.58198119,2.28E-06,0.12,2.96E-12,6045.403621,0.633293909,0.013109578,30,1650602736,0,17550.04678,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.24500025,9.991827239
17,714,17,24,480,6.477724851,4.933108948,0.810104831,0.734172464,0.680467478,0.614252111,2.094231066,0.885996361,1.208224071,0.00415412,7.44E-10,2.50E-05,9.63E-09,0.003115566,0.001306017,0.003414338,4.42E-05,0.152071726,0.491383315,1.07E-05,8.45E-07,7.27E-09,1.07E-08,0.019093994,0.001191687,4.90E-08,0.143451167,4.00E-06,0.000721535,0.001119112,6.14E-10,1,9.16E-14,0.989981187,0.000175563,10.12232617,3.21E-07,8.52E-05,0.002987393,6.17E-06,0.001462975,0.000775246,6.34E-07,5.726144135,1.144640545,0.568969759,1.08E-08,0.943137124,1,0.093039937,0,24.21543164,2.25E-06,0.12,2.97E-12,6045.403621,0.642736256,0.013067187,30,1650602736,0,5051.684595,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,8.298185411,11.71959812
18,852,18,30,496,6.485258783,5.242335156,0.943472395,0.805489003,0.69349283,0.46677702,0.21842273,1.107529983,1.271758531,0.005710629,5.35E-10,2.37E-05,8.10E-09,0.002485023,0.000934696,0.002675088,4.05E-05,0.147916789,0.499910952,1.05E-05,1.22E-06,8.54E-09,1.42E-08,0.019152978,0.00159693,4.67E-08,0.1802265,5.13E-06,0.000858534,0.00081676,6.33E-10,1,9.81E-14,0.756364465,0.000163743,8.776413653,4.27E-07,7.90E-05,0.002883335,9.13E-06,0.001509412,0.000698623,7.10E-07,6.903653096,1.008016819,0.544309538,1.10E-08,0.882933169,1,0.091735291,0,23.94219655,2.51E-06,0.12,2.92E-12,6159.98284,0.630498488,0.009760362,30,1650602736,0,5174.753283,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,9.19083352,11.4347955
19,855,19,24,528,6.010425543,4.988097094,1.414617308,1.2966913,1.201371665,1.015847108,1.264817696,0.802305367,1.183758151,0.004039897,5.69E-10,1.87E-05,9.03E-09,0.002375385,0.001073593,0.002538296,3.76E-05,0.148736947,0.502434877,1.01E-05,1.02E-06,7.75E-09,1.24E-08,0.024251894,0.001640238,5.56E-08,0.158890083,4.70E-06,0.000638405,0.001010467,5.90E-10,1,8.45E-14,0.947906854,0.000118142,8.639864835,2.64E-07,0.000112012,0.00329163,9.37E-06,0.002206995,0.000664271,7.21E-07,8.179354624,1.012593794,0.60147684,1.10E-08,0.893716415,1,0.09275146,0,24.70944206,2.48E-06,0.12,2.92E-12,6522.972689,0.64227719,0.010068744,30,1650602736,0,12124.7381,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,11.44700203,10.50458385
