,ipr,ip,Recoveredt,minevent,damageD0,damageD1,damageD10,damageD11,damageD12,damageD15,damageD28,K14,K16,K13,K11,K18,K48,K29,K15,K42,K34,K40,K31,K27,K24,K47,K26,K25,K28,K288,K45,K37,K32,K322,K3222,unnamed,K49,K53,K57,K59,K245,K400,K401,K500,K501,K555,K556,KpC,Kp14,Kp41,K1314,Km,F_intracellular,Kc,Kcell,Knew,CL_percell,F_extracellular,V_percell,V1,Kn1,Krenew,timeout,starttime,Epitheliumwithreplicatedinfluenza,FreeInfluenza,Epitheliumwithinfluenzaparticle,EpitheliumLung,InfectedAPC,IL6,ResistantEpithelium,IFNA1,TcLymphnode,ActivatedAPCLymphnode,A,EpiKilledbyIFN,EpiKilledbyIL6,EpiKilledbyTc,EpiKilledbyVirus,Tnaive,IgG,IgM,CR,CRP,KCon,C_intracellularRDV_total,C_extracellularRDV_total,cell_number,TP,incDay,Day_After_syp
1,115,1,30,358,6.916409511,5.238354726,0.801420231,0.698926897,0.616155199,0.443623154,0.148431909,0.819976315,1.133350726,0.005207956,7.04E-10,2.53E-05,1.02E-08,0.003230605,8.42E-09,0.002535247,4.57E-05,0.14918379,0.496999807,8.80E-06,5.61E-05,5.33E-15,1.08E-08,0.015567955,0.001676774,5.28E-08,0.140953532,4.65E-06,0.000839416,0.001013557,4.61E-10,1,0.000103496,0.683821262,2.45E-05,6.122710807,2.39E-11,0.000101369,0.003526244,8.73E-06,0.001803545,0.000787818,5.31E-07,7.973748531,0.828982666,0.57400259,1.09E-08,0.915619362,1,0.084129347,0,23.26207866,2.43E-06,0.12,2.93E-12,7470.578307,0.637128955,0.013768552,30,1650604173,0,191060.0049,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,6.679875144,8.239448928
2,49,2,52,458,7.749275881,6.303799322,1.276320137,1.107087019,0.967522491,0.674350681,0.294431057,0.788185587,1.108900387,0.004882736,5.55E-10,2.58E-05,9.86E-09,0.003080679,1.04E-08,0.003768336,3.69E-05,0.148272271,0.494309607,9.73E-06,6.37E-05,4.55E-15,1.18E-08,0.019404531,0.001559853,5.24E-08,0.146225773,4.52E-06,0.000825547,0.000929654,4.53E-10,1,7.55E-05,0.696904092,2.58E-05,6.545525414,3.71E-11,9.81E-05,0.003861483,6.21E-06,0.001381013,0.000657675,6.34E-07,7.860900262,0.818725088,0.632233014,1.10E-08,0.963681028,1,0.079582893,0,22.1691007,2.29E-06,0.12,2.93E-12,6055.965462,0.62986356,0.010289348,30,1650604173,0,56614.97268,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,7.643237096,11.45475166
3,65,3,56,496,7.457899158,6.217484715,1.703489222,1.529829652,1.382517977,1.056173302,0.587061832,0.951900535,1.194843881,0.005653165,6.01E-10,2.26E-05,9.56E-09,0.003211228,7.45E-09,0.003978252,4.53E-05,0.147008469,0.501879496,8.39E-06,5.68E-05,4.83E-15,1.18E-08,0.019354409,0.001069412,5.87E-08,0.182733048,5.03E-06,0.000698681,0.001131609,6.25E-10,1,6.46E-05,0.78939973,1.83E-05,6.917458932,3.04E-11,0.00012316,0.002607803,7.43E-06,0.002164759,0.000683435,5.43E-07,7.051653034,0.966031097,0.589415599,1.12E-08,0.943010209,1,0.084811661,0,23.07526539,2.33E-06,0.12,2.93E-12,7134.174488,0.641463838,0.011888337,30,1650604173,0,149420.6591,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,11.9559591,8.703247273
4,87,4,44,406,8.039664099,6.140244778,0.911730401,0.787364523,0.68745008,0.48240753,0.157693656,0.877102441,0.855862701,0.00572413,5.92E-10,1.69E-05,9.89E-09,0.003342807,9.06E-09,0.003251392,4.09E-05,0.151058283,0.497103724,8.30E-06,6.87E-05,4.42E-15,1.54E-08,0.023507397,0.00167448,4.91E-08,0.179007494,5.22E-06,0.000774479,0.001167035,4.27E-10,1,9.93E-05,0.645786757,2.66E-05,8.189978428,3.26E-11,7.66E-05,0.003158057,9.33E-06,0.001724184,0.000544228,6.27E-07,6.721874524,0.852313876,0.569226172,1.11E-08,0.967129193,1,0.086972748,0,23.89266309,2.19E-06,0.12,2.93E-12,7479.464316,0.644812315,0.014080505,30,1650604173,0,109357.857,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,8.425429274,8.509367733
5,88,5,70,566,7.586473441,6.534235073,2.232821663,2.044499435,1.883466332,1.52601945,1.198777481,0.816904568,1.018854971,0.003817181,5.48E-10,2.14E-05,6.79E-09,0.003197284,7.84E-09,0.003975135,3.99E-05,0.149813908,0.493690844,9.37E-06,5.79E-05,4.51E-15,1.05E-08,0.024388296,0.001654656,5.59E-08,0.144388748,4.38E-06,0.000765063,0.000965521,4.83E-10,1,7.59E-05,0.662859852,1.80E-05,9.318951019,3.40E-11,0.000116828,0.002677329,8.22E-06,0.002052732,0.000674462,5.33E-07,6.269630533,0.851138447,0.498396267,1.10E-08,0.995033898,1,0.083490723,0,24.49162623,2.34E-06,0.12,2.93E-12,7309.28819,0.631094899,0.010512362,30,1650604173,0,61552.2397,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,12.59248564,10.95063901
6,99,6,60,388,8.557681222,6.845025793,1.251066093,1.085212616,0.950466191,0.67263559,0.254640701,0.847310882,0.9511464,0.004228546,6.29E-10,1.74E-05,9.31E-09,0.002630417,7.52E-09,0.003563176,4.73E-05,0.148693563,0.504458265,9.07E-06,8.71E-05,5.94E-15,1.35E-08,0.017376336,0.001227436,5.67E-08,0.137567492,5.02E-06,0.000866876,0.000768428,5.63E-10,1,7.33E-05,0.669202222,2.67E-05,7.723166849,2.61E-11,0.000110429,0.00327509,6.06E-06,0.001721423,0.000735845,7.83E-07,6.55245195,0.880656006,0.426343383,1.11E-08,0.94245526,1,0.084986303,0,24.37401288,2.42E-06,0.12,2.93E-12,7735.346324,0.629923337,0.011666724,30,1650604173,0,176572.7138,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,7.596764507,8.579210316
7,21,7,76,406,10.22548601,8.039377553,1.583135278,1.401541597,1.251883692,0.931426597,0.386718588,0.88241175,1.078874046,0.006126984,5.37E-10,2.48E-05,9.45E-09,0.002867715,8.87E-09,0.002967152,3.60E-05,0.148209539,0.49569124,1.03E-05,7.13E-05,5.78E-15,1.39E-08,0.018888707,0.001277329,4.49E-08,0.180682382,3.31E-06,0.000892857,0.001020898,4.27E-10,1,0.000102995,0.793340166,2.48E-05,8.60849073,2.89E-11,0.000105036,0.003635682,6.38E-06,0.002036444,0.000668544,4.95E-07,6.826332281,1.02808747,0.507266186,1.10E-08,0.974102972,1,0.083622738,0,24.87631094,2.55E-06,0.12,2.93E-12,7718.542135,0.652242647,0.013531546,30,1650604173,0,135657.3777,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,10.19038241,6.675491129
8,30,8,76,378,10.39766686,8.212343863,1.238509047,1.047594941,0.895297782,0.593167678,0.204797371,0.942589565,1.056690297,0.006020395,5.04E-10,1.92E-05,9.77E-09,0.002820837,1.06E-08,0.003397663,4.03E-05,0.148668318,0.501473397,8.33E-06,8.16E-05,3.86E-15,1.59E-08,0.024281741,0.001672737,4.26E-08,0.205052878,4.78E-06,0.000852497,0.000830547,3.94E-10,1,6.84E-05,0.635147589,2.54E-05,9.13615632,3.66E-11,0.000119329,0.004084549,9.11E-06,0.002064127,0.000747163,6.55E-07,7.331791918,0.883067595,0.47075828,1.08E-08,0.963089189,1,0.083739895,0,24.99407805,2.55E-06,0.12,2.93E-12,6101.416448,0.646554925,0.012186843,30,1650604173,0,71738.2175,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,6.736316319,9.010235098
9,63,9,72,450,8.289739464,6.892581051,2.62414796,2.52758317,2.465157591,2.464575747,9.284805354,0.862520946,1.20903499,0.005383767,7.49E-10,2.16E-05,9.78E-09,0.003325411,8.71E-09,0.003310129,5.15E-05,0.150855697,0.494867661,1.16E-05,5.95E-05,5.71E-15,9.81E-09,0.021942054,0.001778414,4.57E-08,0.220971908,3.40E-06,0.000897008,0.000718427,4.31E-10,1,9.76E-05,0.958781357,2.30E-05,7.509524274,3.27E-11,0.000121416,0.003750161,9.06E-06,0.001751279,0.000699203,4.85E-07,5.583683162,0.801688622,0.521950286,1.11E-08,0.870338616,1,0.083678511,0,24.15678573,2.55E-06,0.12,2.93E-12,7362.219743,0.642506395,0.012846737,30,1650604173,0,138801.7402,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,8.702789807,10.00123327
10,71,10,58,396,9.011417262,6.960274012,1.433251011,1.294409203,1.179795733,0.929818438,0.43943986,0.994533286,1.026678253,0.005913193,7.90E-10,2.07E-05,1.00E-08,0.002393893,8.91E-09,0.00365523,4.29E-05,0.15030429,0.493952431,1.28E-05,8.32E-05,5.74E-15,1.42E-08,0.017426196,0.001146374,5.32E-08,0.140087566,4.73E-06,0.000675471,0.001082707,5.03E-10,1,9.46E-05,0.790916526,2.47E-05,7.055538609,3.02E-11,7.79E-05,0.003077506,9.43E-06,0.00186024,0.000763537,5.14E-07,6.939669823,1.133583093,0.585356036,1.10E-08,0.973123035,1,0.094968843,0,23.55665404,2.40E-06,0.12,2.93E-12,7640.214408,0.64940203,0.014438396,30,1650604173,0,170562.6256,0,4.00E+08,0,0,0,0,0,0,1.00E+05,0,0,0,0,1.00E+05,0,0,0,0,0,0,0,1.00E+06,0,4.764775868,11.70795976
