"","ipr","ip","Recoveredt","minevent","damageD0","damageD1","damageD10","damageD11","damageD12","damageD15","damageD28"
"1",115,1,30,358,6.91640951072511,5.23437526585598,0.798155026574045,0.696250594725177,0.613952749004558,0.442244196762532,0.148005875791952
"2",49,2,52,458,7.74927588114932,6.28689342382553,1.23677377051215,1.07048187218745,0.935976709308043,0.653077672249869,0.286066184985444
"3",65,3,52,496,7.45789915784323,6.14561077379499,1.55271842295164,1.39574951032902,1.27752532505417,1.00529874976599,0.605006954666525
"4",87,4,42,406,8.03966409861514,6.10986255443965,0.876722326018497,0.757113912112951,0.662593352706507,0.467327457775757,0.153984953397378
"5",88,5,66,566,7.58647344123253,6.46566472574909,2.01171642119096,1.83148025070781,1.70060603551543,1.42995843846816,1.26121879367653
"6",99,6,58,388,8.55768122190049,6.81582156305651,1.21716582426856,1.05620211003175,0.927578662649468,0.660344723532677,0.254534591568053
"7",21,7,72,406,10.2254860133744,7.97586777430329,1.47915789843124,1.30921691618145,1.1768108126809,0.887614871108577,0.377842338855907
"8",30,8,74,378,10.3976668567317,8.15784558437662,1.2085849362019,1.02605940791933,0.885310588593543,0.602665780261427,0.224867911936492
"9",63,9,60,450,8.2897394638958,6.73222393651976,1.58810666542985,1.44913112029187,1.37709091857198,1.28804063258044,5.18467757588661
"10",71,10,56,396,9.01141726197678,6.92120547896278,1.37731798623607,1.2441755023673,1.13712104909447,0.901342803757727,0.426512801102668
"11",73,11,80,468,9.4526465677627,7.69110466535165,1.889383203559,1.69597850565507,1.53571559618503,1.17667737347722,0.534803851753891
"12",184,12,60,508,7.64968839492987,6.3861553208191,2.06223927475029,1.90003039569886,1.76183309664592,1.43565266107252,0.718885863226175
"13",208,13,64,490,8.6754968692788,7.0111530938345,1.66485042808132,1.50477822130162,1.38764062524265,1.13884761766142,1.16419560072228
"14",281,14,70,480,8.63445639444882,7.12731335650162,1.49638739708671,1.2864369426827,1.11147126858117,0.737875976538449,0.186881913841024
"15",501,15,70,390,10.1558015443267,7.86183892568503,1.27008653141436,1.09942040224881,0.962266713254392,0.673415433853239,0.19985281532456
"16",538,16,64,444,9.26425805001304,7.30453709384707,1.4377471354488,1.28012670800216,1.16716913989232,0.91207216814208,0.489266438824907
"17",554,17,50,560,6.94912361729455,5.88012068207334,1.98703696170895,1.8462339378757,1.7639816079253,1.57905974689978,2.14162747666118
"18",627,18,60,462,8.23755891130833,6.68175905419034,1.67274673375711,1.53710282806012,1.45528933748557,1.30617772658835,2.625693815625
"19",634,19,64,422,9.56963788462165,7.42938002917127,1.2268172616725,1.06881876437277,0.943643147599876,0.682051976434231,0.248837881106257
"20",637,20,70,476,8.28962201088989,6.91316275620177,1.86874346775493,1.67252140874556,1.50678165812218,1.133930867395,0.516396943651795
"21",702,21,70,376,10.8101869090208,8.23395019586095,1.02301148680657,0.863615691967234,0.741325641965523,0.504705470890224,0.182253820387989
"22",811,22,80,398,10.3488630413866,8.26520003394645,1.52077966032429,1.31655640455334,1.15099864566453,0.797280413243279,0.230962100068897
"23",831,23,72,458,10.0582008007961,7.89256899024281,1.41206211232637,1.24547382784736,1.12971571717943,0.917632907149613,0.88062572626178
"24",936,24,74,450,9.38907017105846,7.5917802910385,1.60318632672666,1.41097551038109,1.25243041460304,0.91390296703285,0.344580747492775
"25",954,25,76,492,8.18875290162501,6.94218434991993,2.22785657095699,2.03261487247579,1.86970364004523,1.4963850904457,1.15816953592545
"26",1074,26,68,414,9.14920679788949,7.31916489666294,1.4255599971994,1.24610898936862,1.09952391394763,0.784232400155455,0.263467314300001
"27",1385,27,68,396,10.1821336062151,7.84071576287863,1.11096451133542,0.94873112481527,0.824966115564391,0.564900263274729,0.180606312756255
"28",1550,28,78,430,10.3994332930745,8.18788320553474,1.52976317013168,1.341526710784,1.18705549747306,0.852929922910318,0.269787848159134
"29",1606,29,64,474,8.34564890338293,6.8009466280504,1.71823166268724,1.54655255158922,1.41676022694808,1.10967028640424,0.508028056422278
